station_id,station_name,location,crs1,lat1,lon1,crs2,lat2,lon2,distance_meters
G2L020,嘉義農試,嘉義市東區,TWD97,23.486776,120.465684,WGS84,23.485028,120.473806,851.9643006311401
72M360,義竹分場,嘉義縣義竹鄉,TWD97,23.362432,120.271244,WGS84,23.360694,120.279361,851.9705416166031
B2N890,畜試所,臺南市新化區,TWD97,23.060713,120.328308,WGS84,23.058972,120.336406,851.9646882152945
G2P820,鳳山農試,高雄市鳳山區,TWD97,22.648354,120.34801,WGS84,22.646611,120.356083,851.9512213796769
B2Q810,恆春畜試,屏東縣恆春鎮,TWD97,21.947348,120.794139,WGS84,21.945583,120.802167,852.017157142147
72T250,花蓮農改,花蓮縣吉安鄉,TWD97,23.977028,121.555752,WGS84,23.975222,121.563889,851.9228103021381
E2H360,蓮華池,南投縣魚池鄉,TWD97,23.920106,120.877136,WGS84,23.918333,120.885278,851.9205861790243
72HA00,埔里分場,南投縣魚池鄉,TWD97,23.904982,120.955222,WGS84,23.903208,120.963364,852.0399196994316
U2HA30,臺大和社,南投縣信義鄉,TWD97,23.592633,120.880744,WGS84,23.590856,120.888864,851.8561511788997
U2HA40,臺大內茅埔,南投縣信義鄉,TWD97,23.691497,120.842992,WGS84,23.689722,120.851117,851.696304239861
G2M350,溪口農場,嘉義縣溪口鄉,TWD97,23.587406,120.399994,WGS84,23.58565,120.408111,851.0555683503038
E2K600,四湖植物園,雲林縣四湖鄉,TWD97,23.678718,120.155296,WGS84,23.676986,120.163433,851.880571637876
G2F820,農業試驗所,臺中市霧峰區,TWD97,24.033022,120.679986,WGS84,24.031261,120.688133,851.4079698991683
72M700,嘉義分場,嘉義縣鹿草鄉,TWD97,23.418608,120.274941,WGS84,23.416869,120.283061,851.9537246564529
72N240,七股研究中心,臺南市七股區,TWD97,23.083472,120.054792,WGS84,23.081672,120.062894,853.7301852650868
42HA10,萬大發電廠,南投縣仁愛鄉,TWD97,23.980611,121.131497,WGS84,23.978875,121.139639,850.6089766788228
12Q970,東港工作站,屏東縣東港鎮,TWD97,22.481778,120.458017,WGS84,22.479997,120.466058,850.6801922391842
12J990,口湖工作站,雲林縣口湖鄉,TWD97,23.591722,120.172281,WGS84,23.589978,120.180394,850.3288269433725
12Q980,恆春工作站,屏東縣車城鄉,TWD97,22.081478,120.706406,WGS84,22.079678,120.714425,851.2538925655076
V2K610,大庄合作社,雲林縣二崙鄉,TWD97,23.80855,120.359808,WGS84,23.8068,120.367939,850.9364685487902
V2K620,麥寮合作社,雲林縣麥寮鄉,TWD97,23.755583,120.286657,WGS84,23.753836,120.294783,850.6910845686389
E2S980,太麻里(1),臺東縣太麻里鄉,TWD97,22.600724,120.971991,WGS84,22.598922,120.980044,851.7337141123002
E2S960,太麻里(2),臺東縣太麻里鄉,TWD97,22.599802,120.9897,WGS84,22.598,120.99775,851.4391895372619
72AI40,桃改臺北,新北市樹林區,TWD97,24.946279,121.378755,WGS84,24.944503,121.386972,852.8731535200941
E2HA20,畢祿溪站,南投縣仁愛鄉,TWD97,24.22873,121.300362,WGS84,24.226944,121.308522,852.1065587624059
A2N290,蘭花園區,臺南市後壁區,TWD97,23.342018,120.371562,WGS84,23.340258,120.379661,850.8559605626959
B2U990,宜蘭畜試,宜蘭縣五結鄉,TWD97,24.670842,121.824362,WGS84,24.669039,121.832561,853.5799376346639
A2K630,雲林臺大,雲林縣虎尾鎮,TWD97,23.732381,120.415777,WGS84,23.730628,120.423903,850.9852332409623
E2P980,六龜林試,高雄市六龜區,TWD97,22.993482,120.637645,WGS84,22.991703,120.645722,851.2323541762876
E2P990,扇平林試,高雄市茂林區,TWD97,22.969481,120.677627,WGS84,22.9677,120.685703,851.3260623810024
A2K360,臺西水試,雲林縣臺西鄉,TWD97,23.718974,120.182399,WGS84,23.717231,120.190522,850.5177097468363
V2C250,八德合作社,桃園市八德區,TWD97,24.939471,121.258178,WGS84,24.93775,121.266389,850.9420726731199
V2C260,八德蔬果,桃園市八德區,TWD97,24.980279,121.27356,WGS84,24.978508,121.281819,856.6512856389718
72D680,新埔工作站,新竹縣新埔鎮,TWD97,24.836,121.058,WGS84,24.834444,121.066111,837.815661864621
G2AI50,台農院關渡站,臺北市北投區,TWD97,25.117528,121.483769,WGS84,25.11575,121.492,853.1791727684106
CAH030,茶改場竹圍站,南投縣名間鄉,TWD97,23.861844,120.629392,WGS84,23.86008,120.6375,848.6818454668319
CAN130,水試所海水繁養殖中心,臺南市七股區,TWD97,23.122553,120.071594,WGS84,23.120802,120.079676,850.250941381083
CAL110,布袋國中,嘉義縣布袋鎮,TWD97,23.360676,120.17216,WGS84,23.35893,120.18026,850.4890031272283
CAG100,王功漁港,彰化縣芳苑鄉,TWD97,23.969984,120.317718,WGS84,23.96824,120.32586,850.8758569691295
CAJ050,海口故事園區,雲林縣口湖鄉,TWD97,23.577174,120.133097,WGS84,23.57543,120.14121,850.4176375225144
CAN140,六官養殖協會,臺南市六甲區,TWD97,23.230568,120.29153,WGS84,23.22881,120.29962,850.5793224097345
CAQ030,崎峰國小,屏東縣林邊鄉,TWD97,22.427434,120.487171,WGS84,22.42565,120.49521,850.8704518849133
C2M960,外寮,嘉義縣梅山鄉,TWD97,23.564411,120.657572,WGS84,23.562643,120.665688,851.4012364954358
C2M970,碧湖,嘉義縣梅山鄉,TWD97,23.570397,120.616047,WGS84,23.568632,120.624165,851.4870868678524
C2R170,屏東,屏東縣屏東市,TWD97,22.662048,120.485974,WGS84,22.660269,120.494027,850.7835779069511
C2V310,美濃,高雄市美濃區,TWD97,22.900567,120.511,WGS84,22.898792,120.51907,850.9808533875481
C2M980,安和,嘉義縣新港鄉,TWD97,23.515523,120.30782,WGS84,23.51377,120.31593,850.7219889678429
C2M990,大巃頂,嘉義縣梅山鄉,TWD97,23.556466,120.606275,WGS84,23.5547,120.61439,851.2993891645394
C2N170,茅港尾,臺南市下營區,TWD97,23.207857,120.254311,WGS84,23.2061,120.2624,850.5904917319467
C2R980,竹田國中,屏東縣竹田鄉,TWD97,22.617101,120.516069,WGS84,22.61532,120.52412,850.896566572554
C2R990,泰武,屏東縣泰武鄉,TWD97,22.608649,120.689598,WGS84,22.60686,120.69765,851.2514898105856
C2TA60,六十石,花蓮縣富里鄉,TWD97,23.226575,121.310513,WGS84,23.22477,121.31861,852.5063429056343
C2TA70,赤科坪,花蓮縣玉里鎮,TWD97,23.400655,121.383571,WGS84,23.39885,121.39168,852.6516434094145
C2UC10,出水溪,宜蘭縣大同鄉,TWD97,24.617617,121.644058,WGS84,24.615822,121.652253,853.320885936667
C2UC20,長嶺,宜蘭縣員山鄉,TWD97,24.710732,121.603419,WGS84,24.70894,121.61162,853.2358388862142
C2E980,和興,苗栗縣獅潭鄉,TWD97,24.507081,120.914833,WGS84,24.505319,120.923016,852.000534658468
C2E990,新坪頂,苗栗縣卓蘭鎮,TWD97,24.303773,120.849231,WGS84,24.30201,120.8574,851.9348622640487
C2H9Y0,松茗,南投縣名間鄉,TWD97,23.818463,120.642632,WGS84,23.8167,120.650765,851.4028022377167
C2RA10,大新,屏東縣內埔鄉,TWD97,22.677362,120.569824,WGS84,22.67558,120.57788,851.0711954764669
C2TA90,加納納,花蓮縣瑞穗鄉,TWD97,23.468223,121.351754,WGS84,23.466421,121.359867,852.562035561969
C2TB30,吉安,花蓮縣吉安鄉,TWD97,23.947182,121.539883,WGS84,23.94538,121.54803,852.9937033638622
C2K290,崙內,雲林縣土庫鎮,TWD97,23.697001,120.347887,WGS84,23.69525,120.35601,850.8542189770218
C2K300,鹿南,雲林縣元長鄉,TWD97,23.640303,120.355481,WGS84,23.63855,120.3636,850.8550021608459
C2K250,崙背,雲林縣崙背鄉,TWD97,23.757278,120.310803,WGS84,23.75553,120.31893,850.8051189504904
